iter	Passed	Remaining
0	0	89
1	1	84
2	2	89
3	3	91
4	4	91
5	5	92
6	7	94
7	8	94
8	9	96
9	10	93
10	11	92
11	12	91
12	13	91
13	14	90
14	15	89
15	16	87
16	17	85
17	18	84
18	19	83
19	20	82
20	21	81
21	22	79
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	64
34	34	63
35	35	62
36	36	61
37	36	59
38	37	59
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
